event,time,poss.position,poss.team,poss.player,poss.action,poss.location,poss.play.destination,play.type,def.position,def.team,def.player,def.action,def.location,gk.ball.stop,gk.s.o.g.attempt,poss.player.disciplinary,poss.notes,def.player.disciplinary,def.notes,xG,poss.number,def.number
1,1,NA,NA,NA,kickoff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,M,WNYF,Zerboni,passes.s.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,M,WNYF,Sanderson,passes.b.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,M,WNYF,Erceg,passes.s.c,NA,NA,NA,F,WAS,Stengel,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,D,WNYF,Kennedy,passes.f.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,D,WNYF,Hinkle,passes.b.c,NA,NA,NA,F,WAS,Dunn,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,D,WNYF,Kennedy,passes.b.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,GK,WNYF,D'Angelo,passes.f.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,D,WNYF,Dahlkemper,passes.s.c,NA,NA,NA,M,WAS,Lohman,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,D,WNYF,Kennedy,passes.s.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,D,WNYF,Dahlkemper,passes.f,NA,NA,launch,NA,NA,NA,NA,NA,NA,NA,NA,out.of.bounds.lost.poss,NA,NA,NA,NA,NA
12,1,D,WAS,Dydasco,passes.f.c,NA,NA,throw.in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,F,WAS,C. Williams,passes.b.c,NA,NA,NA,D,WNYF,Eddy,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,D,WAS,Dydasco,passes.f,NA,NA,launch,F,WNYF,L. Williams,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,F,WAS,Stengel,aerial.lost,NA,NA,NA,D,WNYF,Dahlkemper,aerial.won,NA,NA,NA,NA,out.of.bounds.keep.poss,NA,NA,NA,NA,NA
16,1,D,WAS,Dydasco,passes.s.c,NA,NA,throw.in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,M,WAS,Lohman,passes.s.c,NA,NA,NA,M,WNYF,Mewis,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2,D,WAS,Dydasco,passes.f,NA,NA,NA,M,WNYF,Mewis,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2,NA,NA,NA,NA,NA,NA,NA,D,WNYF,Dahlkemper,clearances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2,M,WNYF,Erceg,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2,M,WNYF,Erceg,passes.f.c,NA,NA,flick.on,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2,NA,NA,NA,NA,NA,NA,headed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2,M,WNYF,Sanderson,passes.b.c,NA,NA,NA,M,WAS,Huster,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2,M,WNYF,Erceg,passes.b.c,NA,NA,NA,M,WAS,Lohman,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2,D,WNYF,Kennedy,passes.f.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2,D,WNYF,Hinkle,passes.f.c,NA,NA,launch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2,F,WNYF,McDonald,take.on.lost,NA,NA,NA,D,WAS,Oyster,tackles.ball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2,M,WNYF,Sanderson,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,2,M,WNYF,Sanderson,lost.touch,NA,NA,NA,M,WAS,Huster,clearances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2,M,WAS,Lohman,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,2,M,WAS,Lohman,dispossessed,NA,NA,NA,M,WNYF,Zerboni,dispossessed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2,M,WNYF,Mewis,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2,M,WNYF,Mewis,shots.stopped.by.gk,A3C,NA,NA,GK,WAS,Wys,gk.s.o.g.stop,NA,caught,standing,NA,NA,NA,NA,NA,NA,NA
32,2,GK,WAS,Wys,passes.f,NA,NA,gk.drop.kick,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,2,NA,NA,NA,NA,NA,NA,launch,D,WNYF,Kennedy,clearances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,2,F,WNYF,L. Williams,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2,F,WNYF,L. Williams,passes.b,NA,NA,headed,D,WAS,Oyster,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2,NA,NA,NA,NA,NA,NA,NA,F,WAS,C. Williams,interceptions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,2,F,WAS,C. Williams,passes.s.c,NA,NA,NA,M,WNYF,Erceg,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,2,D,WAS,Krieger,passes.f.c,NA,NA,NA,M,WNYF,Zerboni,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,2,F,WAS,Dunn,lost.touch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,2,D,WNYF,Kennedy,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,2,D,WNYF,Kennedy,passes.s.c,NA,NA,NA,F,WAS,Dunn,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,2,D,WNYF,Hinkle,take.on.won,NA,NA,NA,F,WAS,Dunn,dribbled.tackles.missed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,3,D,WNYF,Hinkle,take.on.lost,NA,NA,NA,F,WAS,Stengel,tackles.ball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,3,F,WAS,Dunn,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,3,F,WAS,Dunn,dispossessed,NA,NA,NA,M,WNYF,Zerboni,dispossessed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,3,D,WNYF,Hinkle,recoveries,NA,NA,NA,F,WAS,Stengel,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,3,D,WNYF,Hinkle,passes.s.c,NA,NA,NA,F,WAS,Stengel,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,3,D,WNYF,Kennedy,passes.f,NA,NA,launch,M,WAS,Lohman,clearances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,3,M,WNYF,Erceg,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,3,M,WNYF,Erceg,passes.f,NA,NA,headed,M,WAS,Huster,blocks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,3,M,WNYF,Mewis,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3,M,WNYF,Mewis,passes.f.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,3,M,WNYF,Sanderson,movement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,3,M,WNYF,Sanderson,passes.f,NA,NA,NA,M,WAS,Huster,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,3,NA,NA,NA,NA,NA,NA,NA,D,WAS,Dydasco,clearances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,3,M,WNYF,Sanderson,recoveries,NA,NA,NA,M,WAS,Huster,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,3,M,WNYF,Sanderson,passes.s.c,NA,NA,NA,M,WAS,Huster,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,3,D,WNYF,Eddy,take.on.lost,NA,NA,NA,F,WAS,C. Williams,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,3,NA,NA,NA,NA,NA,NA,NA,D,WAS,Dydasco,tackles.ball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,3,D,WAS,Dydasco,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,3,D,WAS,Dydasco,clearances,NA,NA,launch,D,WNYF,Eddy,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,3,M,WNYF,Erceg,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,3,M,WNYF,Erceg,passes.b.c,NA,NA,NA,M,WAS,Lohman,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,3,D,WNYF,Kennedy,passes.f.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,3,D,WNYF,Hinkle,passes.f,NA,NA,corner.crosses,F,WAS,Dunn,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,3,NA,NA,NA,NA,NA,NA,NA,GK,WAS,Wys,gk.high.balls.won,NA,caught,NA,NA,NA,NA,NA,NA,NA,NA
62,4,GK,WAS,Wys,passes.f,NA,NA,gk.drop.kick,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,4,NA,NA,NA,NA,NA,NA,launch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,4,F,WAS,Stengel,aerial.lost,NA,NA,NA,D,WNYF,Kennedy,aerial.won,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clearances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,4,D,WAS,Oyster,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,4,D,WAS,Oyster,dispossessed,NA,NA,NA,F,WNYF,L. Williams,dispossessed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,4,F,WNYF,L. Williams,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,4,F,WNYF,L. Williams,passes.b.c,NA,NA,NA,M,WAS,Huster,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,4,M,WNYF,Sanderson,passes.s.c,NA,NA,NA,M,WAS,Lohman,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,4,M,WNYF,Mewis,passes.f,NA,NA,launch,M,WAS,Lohman,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,4,NA,NA,NA,NA,NA,NA,NA,D,WAS,Krieger,interceptions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,4,D,WAS,Krieger,passes.f.c,NA,NA,headed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,4,M,WAS,Nairn,passes.b.c,NA,NA,NA,M,WNYF,Zerboni,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,4,M,WAS,Huster,passes.f.c,NA,NA,NA,M,WNYF,Sanderson,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,4,F,WAS,Stengel,passes.b.c,NA,NA,lay.off,D,WNYF,Kennedy,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,4,M,WAS,Nairn,passes.f,NA,NA,through,M,WNYF,Zerboni,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,4,GK,WNYF,D'Angelo,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,4,GK,WNYF,D'Angelo,passes.f.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,4,D,WNYF,Dahlkemper,passes.b.c,NA,NA,NA,F,WAS,C. Williams,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,4,GK,WNYF,D'Angelo,clearances,NA,NA,launch,F,WAS,Stengel,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,4,D,WAS,Dydasco,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,4,D,WAS,Dydasco,passes.f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,out.of.bounds.lost.poss,NA,NA,NA,NA,NA
81,4,D,WNYF,Eddy,passes.f.c,NA,NA,throw.in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,4,M,WNYF,Sanderson,take.on.won,NA,NA,NA,M,WAS,Lohman,dribbled.turned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,4,M,WNYF,Sanderson,passes.b.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,4,M,WNYF,Zerboni,passes.b.c,NA,NA,NA,M,WAS,Lohman,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,4,NA,NA,NA,NA,NA,NA,NA,F,WAS,Stengel,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,5,D,WNYF,Dahlkemper,passes.s.c,NA,NA,switch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,5,D,WNYF,Hinkle,passes.s.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,5,M,WNYF,Erceg,passes.b.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,5,D,WNYF,Kennedy,passes.s.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,5,D,WNYF,Dahlkemper,passes.s.c,NA,NA,NA,M,WAS,Lohman,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,5,D,WNYF,Kennedy,movement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,5,D,WNYF,Kennedy,passes.f.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,5,F,WNYF,L. Williams,lost.touch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,5,M,WAS,Lohman,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,5,M,WAS,Lohman,passes.s,NA,NA,NA,F,WNYF,L. Williams,blocks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,5,M,WAS,Lohman,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,5,M,WAS,Lohman,passes.b.c,NA,NA,NA,F,WNYF,L. Williams,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,5,M,WAS,Huster,passes.f.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,5,M,WAS,Nairn,passes.f.c,NA,NA,through,M,WNYF,Mewis,pressured,NA,NA,NA,NA,key.passes,NA,NA,NA,NA,NA
99,5,F,WAS,Dunn,movement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,5,F,WAS,Dunn,take.on.won,NA,NA,NA,GK,WNYF,D'Angelo,gk.smothers.lost,NA,NA,NA,NA,NA,NA,errors.to.big.chances,NA,NA,NA
101,5,F,WAS,Dunn,shots.missed,A18,NA,NA,GK,WNYF,D'Angelo,gk.shot.miss,NA,NA,NA,NA,big.chances.shot.missed,NA,NA,NA,NA,NA
101,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,out.of.bounds.lost.poss,NA,NA,NA,NA,NA
102,5,GK,WNYF,D'Angelo,passes.f,NA,NA,goal.kick,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,5,NA,NA,NA,NA,NA,NA,launch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,6,M,WNYF,Sanderson,aerial.lost,NA,NA,NA,D,WAS,Oyster,aerial.won,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clearances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,6,M,WNYF,Mewis,aerial.won,NA,NA,NA,M,WAS,Nairn,aerial.lost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,6,F,WAS,Stengel,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,6,F,WAS,Stengel,passes.s,NA,NA,NA,M,WNYF,Mewis,interceptions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,6,M,WNYF,Mewis,dispossessed,NA,NA,NA,F,WAS,C. Williams,dispossessed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,6,M,WNYF,Mewis,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,6,M,WNYF,Mewis,clearances,NA,NA,NA,M,WAS,Nairn,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,6,M,WNYF,Sanderson,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,6,M,WNYF,Sanderson,passes.f.c,NA,NA,NA,M,WAS,Lohman,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,6,F,WNYF,L. Williams,movement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,6,F,WNYF,L. Williams,passes.s,NA,NA,corner.crosses,D,WAS,Dydasco,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,6,NA,NA,NA,NA,NA,NA,NA,D,WAS,Oyster,clearances,NA,NA,NA,NA,out.of.bounds.keep.poss,NA,NA,NA,NA,NA
114,6,F,WNYF,McDonald,passes.s.c,NA,NA,throw.in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,6,NA,NA,NA,NA,NA,NA,corner.crosses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,6,M,WNYF,Zerboni,aerial.won,NA,NA,NA,M,WAS,Huster,aerial.lost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,6,NA,NA,NA,NA,NA,NA,NA,D,WAS,Johnson,clearances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,6,M,WNYF,Mewis,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,6,M,WNYF,Mewis,passes.s,NA,NA,headed,F,WAS,Stengel,clearances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,7,F,WNYF,McDonald,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,7,F,WNYF,McDonald,passes.b.c,NA,NA,headed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,7,M,WNYF,Sanderson,passes.f.c,NA,NA,NA,F,WAS,C. Williams,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,7,F,WNYF,L. Williams,passes.b.c,NA,NA,NA,D,WAS,Oyster,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,7,M,WNYF,Erceg,passes.b.c,NA,A3L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,7,D,WNYF,Hinkle,shots.stopped.by.gk,A3L,NA,NA,F,WAS,Dunn,challenged,D3R,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,7,NA,NA,NA,NA,NA,NA,NA,D,WAS,Krieger,pressured,D3R,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,7,NA,NA,NA,NA,NA,NA,NA,GK,WAS,Wys,gk.s.o.g.stop,NA,collected,NA,NA,NA,NA,NA,NA,NA,NA
124,7,GK,WAS,Wys,passes.f,NA,NA,gk.drop.kick,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,7,NA,NA,NA,NA,NA,NA,launch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,7,M,WAS,Nairn,aerial.lost,NA,NA,NA,M,WNYF,Erceg,aerial.won,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,7,D,WAS,Krieger,aerial.lost,NA,NA,NA,F,WNYF,L. Williams,aerial.won,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,7,D,WAS,Oyster,aerial.lost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,7,D,WAS,Johnson,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,7,D,WAS,Johnson,clearances,NA,NA,NA,F,WNYF,McDonald,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,7,M,WAS,Nairn,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,7,M,WAS,Nairn,passes.b.c,NA,NA,headed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,7,D,WAS,Krieger,passes.f,NA,NA,NA,M,WNYF,Zerboni,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,7,NA,NA,NA,NA,NA,NA,NA,D,WNYF,Hinkle,interceptions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,7,D,WNYF,Hinkle,lost.touch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,7,D,WAS,Oyster,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,7,D,WAS,Oyster,passes.f,NA,NA,NA,D,WNYF,Hinkle,interceptions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,7,D,WNYF,Hinkle,passes.f,NA,NA,NA,D,WAS,Oyster,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,7,NA,NA,NA,NA,NA,NA,NA,D,WAS,Johnson,clearances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,7,D,WAS,Oyster,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,7,D,WAS,Oyster,passes.s.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,7,M,WAS,Huster,passes.f.c,NA,NA,launch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,7,F,WAS,Dunn,passes.f,NA,NA,launch,M,WNYF,Zerboni,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,8,NA,NA,NA,playcutoffbybroadcast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,8,D,WAS,Krieger,passes.f.c,NA,NA,throw.in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,8,F,WAS,Stengel,passes.s.c,NA,NA,lay.off,D,WNYF,Kennedy,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,8,F,WAS,Dunn,passes.b.c,NA,NA,NA,M,WNYF,Zerboni,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,8,D,WAS,Krieger,passes.s.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,8,M,WAS,Nairn,passes.b.c,NA,NA,NA,M,WNYF,Erceg,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,8,D,WAS,Johnson,passes.f.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,8,D,WAS,Dydasco,passes.f,NA,NA,NA,M,WNYF,Mewis,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,8,D,WNYF,Dahlkemper,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,8,D,WNYF,Dahlkemper,passes.b.c,NA,NA,NA,F,WAS,C. Williams,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,8,GK,WNYF,D'Angelo,passes.f.c,NA,NA,launch,F,WAS,Stengel,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,8,F,WNYF,McDonald,passes.b.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,8,M,WNYF,Sanderson,passes.f.c,NA,NA,NA,M,WAS,Huster,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,8,F,WNYF,McDonald,dispossessed,NA,NA,NA,D,WAS,Dydasco,dispossessed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,8,M,WNYF,Sanderson,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,8,M,WNYF,Sanderson,take.on.lost,NA,NA,NA,M,WAS,Huster,tackles.ball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,8,M,WAS,Nairn,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,8,M,WAS,Nairn,passes.s.c,NA,NA,NA,M,WNYF,Erceg,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,8,M,WAS,Lohman,passes.b.c,NA,NA,NA,F,WNYF,McDonald,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,8,D,WAS,Dydasco,passes.b.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,8,D,WAS,Johnson,passes.s.c,NA,NA,NA,F,WNYF,L. Williams,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
