"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Banini","WAS",0,1,95,1,0,1,0,2,0,3,0.333333333333333,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,49,59,0.830508474576271,47,57,0.824561403508772,38,45,0.844444444444444,0.789473684210526,1,2,0.5,0,0,0,2,4,0.5,2,2,1,1,2,0.5,0,0,0,2,4,0.5,17,25,0.68,11,12,0.916666666666667,21,22,0.954545454545455,17,25,0.68,10,11,0.909090909090909,20,21,0.952380952380952,15,21,0.714285714285714,5,6,0.833333333333333,18,18,1,0.423728813559322,0.203389830508475,0.372881355932203,0.43859649122807,0.192982456140351,0.368421052631579,0.466666666666667,0.133333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0.625,6,3,12,13,5,8,1,1,0,1,2,0,0,0,0,0,1,27,4,1,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,1.89473684210526,0,2.84210526315789,1.89473684210526,0.947368421052632,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0.947368421052632,0,0,46.421052631579,55.8947368421053,44.5263157894737,54,36,42.6315789473684,0.947368421052632,1.89473684210526,0,0,1.89473684210526,3.78947368421053,1.89473684210526,1.89473684210526,0.947368421052632,1.89473684210526,0,0,1.89473684210526,3.78947368421053,16.1052631578947,23.6842105263158,10.4210526315789,11.3684210526316,19.8947368421053,20.8421052631579,16.1052631578947,23.6842105263158,9.47368421052632,10.4210526315789,18.9473684210526,19.8947368421053,14.2105263157895,19.8947368421053,4.73684210526316,5.68421052631579,17.0526315789474,17.0526315789474,0,0,0,0,0,0,0,0,0,0,0,4.73684210526316,2.84210526315789,7.57894736842105,5.68421052631579,2.84210526315789,11.3684210526316,12.3157894736842,4.73684210526316,7.57894736842105,0.947368421052632,0.947368421052632,0,1.89473684210526,0,0,0,0,0,0.947368421052632,25.5789473684211,3.78947368421053,0.947368421052632,0,0,0,1.89473684210526,2.84210526315789,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","WAS",0,1,95,1,0,2,0,0,3,5,1,4,1,0.8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,47,0.51063829787234,23,46,0.5,15,28,0.535714285714286,0.608695652173913,0,5,0,0,0,0,3,6,0.5,1,1,1,0,5,0,0,0,0,3,6,0.5,12,22,0.545454545454545,6,16,0.375,6,9,0.666666666666667,12,22,0.545454545454545,6,16,0.375,5,8,0.625,8,13,0.615384615384615,4,11,0.363636363636364,3,4,0.75,0.468085106382979,0.340425531914894,0.191489361702128,0.478260869565217,0.347826086956522,0.173913043478261,0.464285714285714,0.392857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13,0.615384615384615,6,5,16,9,4,5,5,0,5,0,2,0,0,0,0,0,2,35,7,2,0,1,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0,0,2.84210526315789,4.73684210526316,3.78947368421053,0.947368421052632,0,0.947368421052632,0,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,22.7368421052632,44.5263157894737,21.7894736842105,43.5789473684211,14.2105263157895,26.5263157894737,0,4.73684210526316,0,0,2.84210526315789,5.68421052631579,0.947368421052632,0.947368421052632,0,4.73684210526316,0,0,2.84210526315789,5.68421052631579,11.3684210526316,20.8421052631579,5.68421052631579,15.1578947368421,5.68421052631579,8.52631578947368,11.3684210526316,20.8421052631579,5.68421052631579,15.1578947368421,4.73684210526316,7.57894736842105,7.57894736842105,12.3157894736842,3.78947368421053,10.4210526315789,2.84210526315789,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,7.57894736842105,4.73684210526316,12.3157894736842,5.68421052631579,4.73684210526316,15.1578947368421,8.52631578947368,3.78947368421053,4.73684210526316,4.73684210526316,0,4.73684210526316,1.89473684210526,0,0,0,0,0,1.89473684210526,33.1578947368421,6.63157894736842,1.89473684210526,0,0.947368421052632,0,2.84210526315789,0.947368421052632,4.73684210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farquharson","WAS",0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.5,2,4,0.5,1,1,1,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,2,1,0,1,0,0,1,0,2,2,1,0,0,0,0,0,0,1,1,1,0.25,0.25,0.5,0.25,0.25,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5882352941176,21.1764705882353,10.5882352941176,21.1764705882353,5.29411764705882,5.29411764705882,0,5.29411764705882,0,0,0,5.29411764705882,0,0,0,5.29411764705882,0,0,0,5.29411764705882,0,5.29411764705882,0,5.29411764705882,10.5882352941176,10.5882352941176,0,5.29411764705882,0,5.29411764705882,10.5882352941176,10.5882352941176,0,0,0,0,5.29411764705882,5.29411764705882,0,0,0,0,0,0,0,0,0,0,0,0,5.29411764705882,5.29411764705882,0,5.29411764705882,10.5882352941176,15.8823529411765,5.29411764705882,10.5882352941176,0,0,0,0,0,0,0,0,0,0,5.29411764705882,5.29411764705882,0,0,5.29411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galton","SBFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,13,19,0.684210526315789,13,19,0.684210526315789,10,15,0.666666666666667,0.789473684210526,1,2,0.5,1,1,1,2,2,1,0,0,0,1,2,0.5,1,1,1,2,2,1,6,9,0.666666666666667,4,7,0.571428571428571,3,3,1,6,9,0.666666666666667,4,7,0.571428571428571,3,3,1,4,6,0.666666666666667,3,6,0.5,3,3,1,0.473684210526316,0.368421052631579,0.157894736842105,0.473684210526316,0.368421052631579,0.157894736842105,0.4,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0.25,3,4,10,8,6,2,4,0,4,0,0,1,0,0,0,0,0,51,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0.947368421052632,0.947368421052632,0,0,12.3157894736842,18,12.3157894736842,18,9.47368421052632,14.2105263157895,0.947368421052632,1.89473684210526,0.947368421052632,0.947368421052632,1.89473684210526,1.89473684210526,0,0,0.947368421052632,1.89473684210526,0.947368421052632,0.947368421052632,1.89473684210526,1.89473684210526,5.68421052631579,8.52631578947368,3.78947368421053,6.63157894736842,2.84210526315789,2.84210526315789,5.68421052631579,8.52631578947368,3.78947368421053,6.63157894736842,2.84210526315789,2.84210526315789,3.78947368421053,5.68421052631579,2.84210526315789,5.68421052631579,2.84210526315789,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,2.84210526315789,3.78947368421053,2.84210526315789,3.78947368421053,9.47368421052632,7.57894736842105,5.68421052631579,1.89473684210526,3.78947368421053,0,3.78947368421053,0,0.947368421052632,0,0,0,0,0,48.3157894736842,8.52631578947368,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grubka","SBFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,0.80952380952381,17,21,0.80952380952381,4,8,0.5,0.380952380952381,0,0,0,1,5,0.2,1,1,1,0,0,0,0,0,0,1,5,0.2,1,1,1,9,13,0.692307692307692,3,3,1,5,5,1,9,13,0.692307692307692,3,3,1,5,5,1,2,6,0.333333333333333,0,0,0,2,2,1,0.619047619047619,0.142857142857143,0.238095238095238,0.619047619047619,0.142857142857143,0.238095238095238,0.75,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,7,5,2,0.714285714285714,0,1,0,0,0,0,0,14,5,1,5,15,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1052631578947,19.8947368421053,16.1052631578947,19.8947368421053,3.78947368421053,7.57894736842105,0,0,0.947368421052632,4.73684210526316,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,4.73684210526316,0.947368421052632,0.947368421052632,8.52631578947368,12.3157894736842,2.84210526315789,2.84210526315789,4.73684210526316,4.73684210526316,8.52631578947368,12.3157894736842,2.84210526315789,2.84210526315789,4.73684210526316,4.73684210526316,1.89473684210526,5.68421052631579,0,0,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57894736842105,6.63157894736842,0.947368421052632,6.63157894736842,4.73684210526316,1.89473684210526,0,0.947368421052632,0,0,0,0,0,13.2631578947368,4.73684210526316,0.947368421052632,4.73684210526316,14.2105263157895,0,1.89473684210526,2.84210526315789,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huster","WAS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,42,0.714285714285714,30,42,0.714285714285714,20,25,0.8,0.595238095238095,0,1,0,0,3,0,1,3,0.333333333333333,0,0,0,0,1,0,0,3,0,1,3,0.333333333333333,18,28,0.642857142857143,8,10,0.8,4,4,1,18,28,0.642857142857143,8,10,0.8,4,4,1,11,15,0.733333333333333,5,6,0.833333333333333,4,4,1,0.666666666666667,0.238095238095238,0.0952380952380952,0.666666666666667,0.238095238095238,0.0952380952380952,0.6,0.24,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,15,10,5,7,6,1,0.857142857142857,0,0,0,0,0,0,0,28,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4210526315789,39.7894736842105,28.4210526315789,39.7894736842105,18.9473684210526,23.6842105263158,0,0.947368421052632,0,2.84210526315789,0.947368421052632,2.84210526315789,0,0,0,0.947368421052632,0,2.84210526315789,0.947368421052632,2.84210526315789,17.0526315789474,26.5263157894737,7.57894736842105,9.47368421052632,3.78947368421053,3.78947368421053,17.0526315789474,26.5263157894737,7.57894736842105,9.47368421052632,3.78947368421053,3.78947368421053,10.4210526315789,14.2105263157895,4.73684210526316,5.68421052631579,3.78947368421053,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,1.89473684210526,14.2105263157895,9.47368421052632,4.73684210526316,6.63157894736842,5.68421052631579,0.947368421052632,0,0,0,0,0,0,0,26.5263157894737,0.947368421052632,0,0,0,0,1.89473684210526,0,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kai","SBFC",0,1,64,1,0,2,0,1,0,3,0.666666666666667,1,2,0.333333333333333,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,13,0.307692307692308,4,13,0.307692307692308,3,7,0.428571428571429,0.538461538461538,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,1,7,0.142857142857143,0,3,0,3,3,1,1,7,0.142857142857143,0,3,0,3,3,1,0,2,0,0,2,0,3,3,1,0.538461538461538,0.230769230769231,0.230769230769231,0.538461538461538,0.230769230769231,0.230769230769231,0.285714285714286,0.285714285714286,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,5,3,3,0,10,2,8,0.2,0,0,0,0,0,0,0,25,3,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8125,0,1.40625,0,4.21875,1.40625,2.8125,0,1.40625,1.40625,0,0,0,2.8125,0,0,0,0,0,0,0,0,5.625,18.28125,5.625,18.28125,4.21875,9.84375,0,0,0,1.40625,0,2.8125,0,0,0,0,0,1.40625,0,2.8125,1.40625,9.84375,0,4.21875,4.21875,4.21875,1.40625,9.84375,0,4.21875,4.21875,4.21875,0,2.8125,0,2.8125,4.21875,4.21875,0,0,0,0,0,0,0,0,0,0,0,0,1.40625,1.40625,1.40625,4.21875,7.03125,4.21875,4.21875,0,14.0625,2.8125,11.25,0,0,0,0,0,0,0,35.15625,4.21875,2.8125,5.625,0,1.40625,0,1.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kerr","SBFC",0,1,31,0,1,0,0,0,1,2,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,8,0.625,5,8,0.625,3,5,0.6,0.625,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0.666666666666667,1,3,0.333333333333333,2,2,1,2,3,0.666666666666667,1,3,0.333333333333333,2,2,1,1,2,0.5,1,2,0.5,1,1,1,0.375,0.375,0.25,0.375,0.375,0.25,0.4,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,3,4,4,3,1,1,0,1,0,1,0,0,0,0,0,0,9,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90322580645161,0,0,0,2.90322580645161,5.80645161290323,0,5.80645161290323,2.90322580645161,0,0,0,0,0,2.90322580645161,0,0,0,0,0,0,0,0,14.5161290322581,23.2258064516129,14.5161290322581,23.2258064516129,8.70967741935484,14.5161290322581,0,0,0,0,2.90322580645161,2.90322580645161,0,0,0,0,0,0,2.90322580645161,2.90322580645161,5.80645161290323,8.70967741935484,2.90322580645161,8.70967741935484,5.80645161290323,5.80645161290323,5.80645161290323,8.70967741935484,2.90322580645161,8.70967741935484,5.80645161290323,5.80645161290323,2.90322580645161,5.80645161290323,2.90322580645161,5.80645161290323,2.90322580645161,2.90322580645161,0,0,0,0,0,0,0,0,0,0,0,2.90322580645161,2.90322580645161,5.80645161290323,0,8.70967741935484,11.6129032258065,11.6129032258065,8.70967741935484,2.90322580645161,2.90322580645161,0,2.90322580645161,2.90322580645161,0,0,0,0,0,0,26.1290322580645,2.90322580645161,0,2.90322580645161,0,0,0,5.80645161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Killion","SBFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,48,0.875,41,47,0.872340425531915,30,31,0.967741935483871,0.659574468085106,0,0,0,1,1,1,2,4,0.5,0,0,0,0,0,0,1,1,1,2,4,0.5,15,20,0.75,12,12,1,15,16,0.9375,15,20,0.75,11,11,1,15,16,0.9375,11,12,0.916666666666667,6,6,1,13,13,1,0.416666666666667,0.25,0.333333333333333,0.425531914893617,0.234042553191489,0.340425531914894,0.387096774193548,0.193548387096774,0.419354838709677,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,15,12,3,5,1,4,0.2,1,1,0,0,0,0,0,29,8,3,2,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7894736842105,45.4736842105263,38.8421052631579,44.5263157894737,28.4210526315789,29.3684210526316,0,0,0.947368421052632,0.947368421052632,1.89473684210526,3.78947368421053,0,0,0,0,0.947368421052632,0.947368421052632,1.89473684210526,3.78947368421053,14.2105263157895,18.9473684210526,11.3684210526316,11.3684210526316,14.2105263157895,15.1578947368421,14.2105263157895,18.9473684210526,10.4210526315789,10.4210526315789,14.2105263157895,15.1578947368421,10.4210526315789,11.3684210526316,5.68421052631579,5.68421052631579,12.3157894736842,12.3157894736842,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,0.947368421052632,0,0.947368421052632,0,0.947368421052632,0.947368421052632,14.2105263157895,11.3684210526316,2.84210526315789,4.73684210526316,0.947368421052632,3.78947368421053,0.947368421052632,0.947368421052632,0,0,0,0,0,27.4736842105263,7.57894736842105,2.84210526315789,1.89473684210526,0.947368421052632,0,0.947368421052632,2.84210526315789,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kleiner","WAS",0,1,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,42,0.761904761904762,24,31,0.774193548387097,15,17,0.882352941176471,0.548387096774194,0,2,0,0,1,0,0,0,0,8,11,0.727272727272727,0,2,0,0,1,0,0,0,0,15,23,0.652173913043478,6,8,0.75,11,11,1,12,17,0.705882352941177,4,6,0.666666666666667,8,8,1,8,9,0.888888888888889,3,4,0.75,4,4,1,0.547619047619048,0.19047619047619,0.261904761904762,0.548387096774194,0.193548387096774,0.258064516129032,0.529411764705882,0.235294117647059,0.235294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,6,2,3,2,1,0.666666666666667,0,0,0,0,0,0,0,18,7,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9230769230769,48.4615384615385,27.6923076923077,35.7692307692308,17.3076923076923,19.6153846153846,0,2.30769230769231,0,1.15384615384615,0,0,9.23076923076923,12.6923076923077,0,2.30769230769231,0,1.15384615384615,0,0,17.3076923076923,26.5384615384615,6.92307692307692,9.23076923076923,12.6923076923077,12.6923076923077,13.8461538461538,19.6153846153846,4.61538461538461,6.92307692307692,9.23076923076923,9.23076923076923,9.23076923076923,10.3846153846154,3.46153846153846,4.61538461538461,4.61538461538461,4.61538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15384615384615,0,1.15384615384615,9.23076923076923,6.92307692307692,2.30769230769231,3.46153846153846,2.30769230769231,1.15384615384615,0,0,0,0,0,0,0,20.7692307692308,8.07692307692308,0,0,2.30769230769231,2.30769230769231,1.15384615384615,1.15384615384615,1.15384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
