"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Arlitt","FCKC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,39,0.743589743589744,24,33,0.727272727272727,18,24,0.75,0.727272727272727,1,2,0.5,2,4,0.5,1,1,1,5,6,0.833333333333333,1,2,0.5,2,4,0.5,1,1,1,13,21,0.619047619047619,11,13,0.846153846153846,5,5,1,12,19,0.631578947368421,7,9,0.777777777777778,5,5,1,9,14,0.642857142857143,4,5,0.8,5,5,1,0.538461538461538,0.333333333333333,0.128205128205128,0.575757575757576,0.272727272727273,0.151515151515152,0.583333333333333,0.208333333333333,0.208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,2,1,1,0,4,1,3,0.25,1,0,0,0,0,0,1,20,2,2,4,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4736842105263,36.9473684210526,22.7368421052632,31.2631578947368,17.0526315789474,22.7368421052632,0.947368421052632,1.89473684210526,1.89473684210526,3.78947368421053,0.947368421052632,0.947368421052632,4.73684210526316,5.68421052631579,0.947368421052632,1.89473684210526,1.89473684210526,3.78947368421053,0.947368421052632,0.947368421052632,12.3157894736842,19.8947368421053,10.4210526315789,12.3157894736842,4.73684210526316,4.73684210526316,11.3684210526316,18,6.63157894736842,8.52631578947368,4.73684210526316,4.73684210526316,8.52631578947368,13.2631578947368,3.78947368421053,4.73684210526316,4.73684210526316,4.73684210526316,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0,1.89473684210526,0.947368421052632,0.947368421052632,1.89473684210526,0.947368421052632,0.947368421052632,0,3.78947368421053,0.947368421052632,2.84210526315789,0.947368421052632,0,0,0,0,0,0.947368421052632,18.9473684210526,1.89473684210526,1.89473684210526,3.78947368421053,0.947368421052632,0,0.947368421052632,0,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",0,1,95,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,42,0.80952380952381,34,41,0.829268292682927,21,26,0.807692307692308,0.634146341463415,0,0,0,2,7,0.285714285714286,0,1,0,0,0,0,0,0,0,2,6,0.333333333333333,0,1,0,22,30,0.733333333333333,8,8,1,4,4,1,22,29,0.758620689655172,8,8,1,4,4,1,15,20,0.75,2,2,1,4,4,1,0.714285714285714,0.19047619047619,0.0952380952380952,0.707317073170732,0.195121951219512,0.0975609756097561,0.769230769230769,0.0769230769230769,0.153846153846154,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,9,9,0,5,3,2,0.6,0,0,0,0,0,0,1,15,5,1,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2105263157895,39.7894736842105,32.2105263157895,38.8421052631579,19.8947368421053,24.6315789473684,0,0,1.89473684210526,6.63157894736842,0,0.947368421052632,0,0,0,0,1.89473684210526,5.68421052631579,0,0.947368421052632,20.8421052631579,28.4210526315789,7.57894736842105,7.57894736842105,3.78947368421053,3.78947368421053,20.8421052631579,27.4736842105263,7.57894736842105,7.57894736842105,3.78947368421053,3.78947368421053,14.2105263157895,18.9473684210526,1.89473684210526,1.89473684210526,3.78947368421053,3.78947368421053,0,0,0,0,0,0.947368421052632,0,0,0.947368421052632,0,1.89473684210526,0,0,0,0,0,0,8.52631578947368,8.52631578947368,0,4.73684210526316,2.84210526315789,1.89473684210526,0,0,0,0,0,0,0.947368421052632,14.2105263157895,4.73684210526316,0.947368421052632,4.73684210526316,1.89473684210526,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,0.964285714285714,11,11,1,2,2,1,0.181818181818182,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,19,20,0.95,8,8,1,0,0,0,10,10,1,1,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0.714285714285714,0.285714285714286,0,0.909090909090909,0.0909090909090909,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,5,0.2,0,0,0,0,2,1,3,0.666666666666667,5,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,27,28,0.964285714285714,11,11,1,0,0,0,5,6,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5789473684211,26.5263157894737,10.4210526315789,10.4210526315789,1.89473684210526,1.89473684210526,0,0,2.84210526315789,2.84210526315789,0,0,0,0,0,0,2.84210526315789,2.84210526315789,0,0,18,18.9473684210526,7.57894736842105,7.57894736842105,0,0,9.47368421052632,9.47368421052632,0.947368421052632,0.947368421052632,0,0,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0,0,0,0,3.78947368421053,0.947368421052632,4.73684210526316,0,0,0,1.89473684210526,0.947368421052632,2.84210526315789,4.73684210526316,0,0,0,0.947368421052632,0,0.947368421052632,0.947368421052632,0,0.947368421052632,0,0,0,0.947368421052632,0,0,25.5789473684211,26.5263157894737,10.4210526315789,10.4210526315789,0,0,4.73684210526316,5.68421052631579
"Conheeney","SBFC",0,1,95,1,0,2,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,36,0.833333333333333,29,35,0.828571428571429,23,25,0.92,0.714285714285714,0,2,0,2,2,1,4,4,1,0,0,0,0,2,0,2,2,1,4,4,1,8,10,0.8,10,14,0.714285714285714,12,12,1,8,10,0.8,10,14,0.714285714285714,11,11,1,7,8,0.875,8,9,0.888888888888889,8,8,1,0.277777777777778,0.388888888888889,0.333333333333333,0.285714285714286,0.4,0.314285714285714,0.32,0.36,0.32,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,2,7,7,4,3,3,1,2,0.333333333333333,0,5,0,0,0,0,0,68,6,0,2,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0,0,0,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4210526315789,34.1052631578947,27.4736842105263,33.1578947368421,21.7894736842105,23.6842105263158,0,1.89473684210526,1.89473684210526,1.89473684210526,3.78947368421053,3.78947368421053,0,0,0,1.89473684210526,1.89473684210526,1.89473684210526,3.78947368421053,3.78947368421053,7.57894736842105,9.47368421052632,9.47368421052632,13.2631578947368,11.3684210526316,11.3684210526316,7.57894736842105,9.47368421052632,9.47368421052632,13.2631578947368,10.4210526315789,10.4210526315789,6.63157894736842,7.57894736842105,7.57894736842105,8.52631578947368,7.57894736842105,7.57894736842105,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,2.84210526315789,2.84210526315789,1.89473684210526,1.89473684210526,6.63157894736842,6.63157894736842,3.78947368421053,2.84210526315789,2.84210526315789,0.947368421052632,1.89473684210526,0,4.73684210526316,0,0,0,0,0,64.4210526315789,5.68421052631579,0,1.89473684210526,0,0,1.89473684210526,5.68421052631579,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DeCesare","SBFC",0,1,69,1,0,2,0,0,0,2,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0.5,10,20,0.5,9,16,0.5625,0.8,0,5,0,0,0,0,1,2,0.5,0,0,0,0,5,0,0,0,0,1,2,0.5,2,7,0.285714285714286,1,6,0.166666666666667,7,7,1,2,7,0.285714285714286,1,6,0.166666666666667,7,7,1,1,5,0.2,1,4,0.25,7,7,1,0.35,0.3,0.35,0.35,0.3,0.35,0.3125,0.25,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,9,5,4,0.555555555555556,0,0,0,0,0,0,0,32,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60869565217391,0,0,0,2.60869565217391,1.30434782608696,1.30434782608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0434782608696,26.0869565217391,13.0434782608696,26.0869565217391,11.7391304347826,20.8695652173913,0,6.52173913043478,0,0,1.30434782608696,2.60869565217391,0,0,0,6.52173913043478,0,0,1.30434782608696,2.60869565217391,2.60869565217391,9.1304347826087,1.30434782608696,7.82608695652174,9.1304347826087,9.1304347826087,2.60869565217391,9.1304347826087,1.30434782608696,7.82608695652174,9.1304347826087,9.1304347826087,1.30434782608696,6.52173913043478,1.30434782608696,5.21739130434783,9.1304347826087,9.1304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30434782608696,0,1.30434782608696,2.60869565217391,2.60869565217391,0,11.7391304347826,6.52173913043478,5.21739130434783,0,0,0,0,0,0,0,41.7391304347826,0,1.30434782608696,0,0,0,1.30434782608696,0,1.30434782608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galton","SBFC",0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.5,3,6,0.5,3,6,0.5,1,1,2,0.5,0,1,0,0,1,0,0,0,0,1,2,0.5,0,1,0,0,1,0,0,1,0,1,2,0.5,2,3,0.666666666666667,0,1,0,1,2,0.5,2,3,0.666666666666667,0,1,0,1,2,0.5,2,3,0.666666666666667,0.166666666666667,0.333333333333333,0.5,0.166666666666667,0.333333333333333,0.5,0.166666666666667,0.333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,2,1,0.666666666666667,0,0,0,0,0,0,0,18,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2972972972973,14.5945945945946,7.2972972972973,14.5945945945946,7.2972972972973,14.5945945945946,2.43243243243243,4.86486486486486,0,2.43243243243243,0,2.43243243243243,0,0,2.43243243243243,4.86486486486486,0,2.43243243243243,0,2.43243243243243,0,2.43243243243243,2.43243243243243,4.86486486486486,4.86486486486486,7.2972972972973,0,2.43243243243243,2.43243243243243,4.86486486486486,4.86486486486486,7.2972972972973,0,2.43243243243243,2.43243243243243,4.86486486486486,4.86486486486486,7.2972972972973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2972972972973,7.2972972972973,0,7.2972972972973,4.86486486486486,2.43243243243243,0,0,0,0,0,0,0,43.7837837837838,4.86486486486486,2.43243243243243,0,0,0,0,2.43243243243243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordon","SBFC",0,1,59,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0.818181818181818,18,22,0.818181818181818,16,18,0.888888888888889,0.818181818181818,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,8,11,0.727272727272727,3,4,0.75,7,7,1,8,11,0.727272727272727,3,4,0.75,7,7,1,7,8,0.875,2,3,0.666666666666667,7,7,1,0.5,0.181818181818182,0.318181818181818,0.5,0.181818181818182,0.318181818181818,0.444444444444444,0.166666666666667,0.388888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,2,2,2,0,1,1,0,1,0,0,0,0,0,0,0,33,1,1,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52542372881356,0,0,1.52542372881356,0,1.52542372881356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4576271186441,33.5593220338983,27.4576271186441,33.5593220338983,24.4067796610169,27.4576271186441,0,1.52542372881356,1.52542372881356,1.52542372881356,0,0,0,0,0,1.52542372881356,1.52542372881356,1.52542372881356,0,0,12.2033898305085,16.7796610169492,4.57627118644068,6.10169491525424,10.6779661016949,10.6779661016949,12.2033898305085,16.7796610169492,4.57627118644068,6.10169491525424,10.6779661016949,10.6779661016949,10.6779661016949,12.2033898305085,3.05084745762712,4.57627118644068,10.6779661016949,10.6779661016949,0,0,0,0,0,0,0,0,0,0,0,1.52542372881356,0,1.52542372881356,3.05084745762712,0,3.05084745762712,3.05084745762712,3.05084745762712,0,1.52542372881356,1.52542372881356,0,0,0,0,0,0,0,0,50.3389830508475,1.52542372881356,1.52542372881356,1.52542372881356,0,0,4.57627118644068,1.52542372881356,4.57627118644068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",0,1,88,1,1,0,0,1,0,2,0.5,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,10,12,0.833333333333333,10,12,0.833333333333333,7,8,0.875,0.666666666666667,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,3,3,1,4,6,0.666666666666667,3,3,1,3,3,1,4,6,0.666666666666667,3,3,1,3,3,1,3,4,0.75,1,1,1,0.25,0.5,0.25,0.25,0.5,0.25,0.375,0.5,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0.6,2,2,6,3,1,2,7,2,5,0.285714285714286,0,5,0,0,0,0,0,42,7,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02272727272727,0,0,1.02272727272727,0,2.04545454545455,0,2.04545454545455,0,0,1.02272727272727,0,0,0,1.02272727272727,0,1.02272727272727,0,0,0,1.02272727272727,0,0,10.2272727272727,12.2727272727273,10.2272727272727,12.2727272727273,7.15909090909091,8.18181818181818,1.02272727272727,1.02272727272727,0,0,1.02272727272727,1.02272727272727,0,0,1.02272727272727,1.02272727272727,0,0,1.02272727272727,1.02272727272727,3.06818181818182,3.06818181818182,4.09090909090909,6.13636363636364,3.06818181818182,3.06818181818182,3.06818181818182,3.06818181818182,4.09090909090909,6.13636363636364,3.06818181818182,3.06818181818182,3.06818181818182,3.06818181818182,3.06818181818182,4.09090909090909,1.02272727272727,1.02272727272727,0,0,0,0,0,0,0,0,0,0,0,3.06818181818182,2.04545454545455,5.11363636363636,2.04545454545455,2.04545454545455,6.13636363636364,3.06818181818182,1.02272727272727,2.04545454545455,7.15909090909091,2.04545454545455,5.11363636363636,0,5.11363636363636,0,0,0,0,0,42.9545454545455,7.15909090909091,1.02272727272727,1.02272727272727,0,0,1.02272727272727,0,1.02272727272727,0,1.02272727272727,1.02272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grubka","SBFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,0.709677419354839,20,29,0.689655172413793,15,20,0.75,0.689655172413793,0,0,0,2,8,0.25,0,2,0,0,0,0,0,0,0,2,8,0.25,0,2,0,11,19,0.578947368421053,4,5,0.8,7,7,1,11,19,0.578947368421053,3,4,0.75,6,6,1,9,14,0.642857142857143,1,1,1,5,5,1,0.612903225806452,0.161290322580645,0.225806451612903,0.655172413793103,0.137931034482759,0.206896551724138,0.7,0.05,0.25,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,8,7,1,4,4,0,1,3,0,0,0,0,0,0,3,5,0,4,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8421052631579,29.3684210526316,18.9473684210526,27.4736842105263,14.2105263157895,18.9473684210526,0,0,1.89473684210526,7.57894736842105,0,1.89473684210526,0,0,0,0,1.89473684210526,7.57894736842105,0,1.89473684210526,10.4210526315789,18,3.78947368421053,4.73684210526316,6.63157894736842,6.63157894736842,10.4210526315789,18,2.84210526315789,3.78947368421053,5.68421052631579,5.68421052631579,8.52631578947368,13.2631578947368,0.947368421052632,0.947368421052632,4.73684210526316,4.73684210526316,0,0,0,0,1.89473684210526,1.89473684210526,0,0,0,0,1.89473684210526,0,0,0,0,0,0,7.57894736842105,6.63157894736842,0.947368421052632,3.78947368421053,3.78947368421053,0,2.84210526315789,0,0,0,0,0,0,2.84210526315789,4.73684210526316,0,3.78947368421053,2.84210526315789,0.947368421052632,1.89473684210526,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kai","SBFC",0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,6.66666666666667,0,0,0,0,6.66666666666667,6.66666666666667,0,0,0,0,6.66666666666667,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,3.33333333333333,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
