"Player","Team","Number","GP","MP","GS","Goals","Shots Stopped by GK","Shots Stopped by Def","Shots Missed","Shots Blocked","All Shots","Shot Accuracy","Shots Pressed","Shots Not Pressed","Pct Shots Pressed","BC Scored","BC SOG","BC Shot Miss","BC Dispossess","BC Created","BC Lost","Big Chances","BC Conversion Pct","Assists","Key Passes","Key Assists","Second Assists","Open Play Assists","Open Play Key Passes","Open Play Key Assists","Open Play Second Assists","Pass Comp","Pass Att","Pass Comp Pct","opPass Comp","opPass Att","opPass Comp Pct","PPass Comp","PPass Att","PPass Comp Pct","Pct opPass Pressed","Cross Comp","Cross Att","Cross Comp Pct","Launch Comp","Launch Att","Launch Comp Pct","Through Comp","Through Att","Through Comp Pct","Throw In Comp","Throw In Att","Throw In Comp Pct","opCross Comp","opCross Att","opCross Comp Pct","opLaunch Comp","opLaunch Att","opLaunch Comp Pct","opThrough Comp","opThrough Att","opThrough Comp Pct","fwPass Comp","fwPass Att","fwPass Comp Pct","sPass Comp","sPass Att","sPass Comp Pct","bPass Comp","bPass Att","bPass Comp Pct","fwopPass Comp","fwopPass Att","fwopPass Comp Pct","sopPass Comp","sopPass Att","sopPass Comp Pct","bopPass Comp","bopPass Att","bopPass Comp Pct","fwPPass Comp","fwPPass Att","fwPPass Comp Pct","sPPass Comp","sPPass Att","sPPass Comp Pct","bPPass Comp","bPPass Att","bPPass Comp Pct","rFreq Pass Fwd","rFreq Pass Side","rFreq Pass Back","rFreq opPass Fwd","rFreq opPass Side","rFreq opPass Back","rFreq PPass Fwd","rFreq PPass Side","rFreq PPass Back","Corner Kicks Completed","Corner Kicks Taken","CK Comp Pct","CK Assist","CK Key Pass","FK Pass Comp","FK Pass Att","FK Pass Comp Pct","FK Assist","FK Key Pass","FK Shot","FK Scored","Free Kicks Taken","TO Won","TO Lost","Take Ons","TO Win Pct","Dispossessed by Opp","Lost Touches","All Possessions Disrupted","Recoveries","Def Recoveries","Poss Recoveries","Aerial Duels","AD Won","AD Lost","AD Win Pct","Fouls Won","Fouls Conceded","Yellow Cards","Red Cards","Penalties Won","Penalties Conceded","Dispossessed Opp","Pressured Opp","Challenged Opp","Interceptions","Blocks","Clearances","Ball Shields","Tackles","Dribbled","All Opp Poss Disrupted","Saves","Goals Allowed","GK SOG Faced","GperSOG","BC Saves","BC Goals Allowed","BC SOG Faced","GperBCSOG","HB Won","HB Lost","High Balls Faced","HB Win Pct","HB Caught","HB Punched","HB Parried","HB Collected","Crosses GK Won","Crosses GK Lost","Crosses GK Faced","CKs GK Won","CKs GK Lost","CKs GK Faced","FKs GK Won","FKs GK Lost","FKs GK Faced","HB Fouls Won","Smothers Won","Smothers Lost","GK Overall Pass Comp","GK Overall Pass Att","GK Overall Pass Comp Pct","GK Throw Comp","GK Throw Att","GK Throw Comp Pct","GK Drop Kick Comp","GK Drop Kick Att","GK Drop Kick Comp Pct","GKFK Comp","GKFK Att","GKFK Comp Pct","Goals per 90","Shots Stopped by GK per 90","Shots Stopped by Def per 90","Shots Missed per 90","Shots Blocked per 90","All Shots per 90","Shots Pressed per 90","Shots Not Pressed per 90","BC Scored per 90","BC SOG per 90","BC Shot Miss per 90","BC Dispossess per 90","BC Created per 90","BC Lost per 90","Big Chances per 90","Assists per 90","Key Passes per 90","Key Assists per 90","Second Assists per 90","Open Play Assists per 90","Open Play Key Passes per 90","Open Play Key Assists per 90","Open Play Second Assists per 90","Pass Comp per 90","Pass Att per 90","opPass Comp per 90","opPass Att per 90","PPass Comp per 90","PPass Att per 90","Cross Comp per 90","Cross Att per 90","Launch Comp per 90","Launch Att per 90","Through Comp per 90","Through Att per 90","Throw In Comp per 90","Throw In Att per 90","opCross Comp per 90","opCross Att per 90","opLaunch Comp per 90","opLaunch Att per 90","opThrough Comp per 90","opThrough Att per 90","fwPass Comp per 90","fwPass Att per 90","sPass Comp per 90","sPass Att per 90","bPass Comp per 90","bPass Att per 90","fwopPass Comp per 90","fwopPass Att per 90","sopPass Comp per 90","sopPass Att per 90","bopPass Comp per 90","bopPass Att per 90","fwPPass Comp per 90","fwPPass Att per 90","sPPass Comp per 90","sPPass Att per 90","bPPass Comp per 90","bPPass Att per 90","Corner Kicks Completed per 90","Corner Kicks Taken per 90","CK Assist per 90","CK Key Pass per 90","FK Pass Comp per 90","FK Pass Att per 90","FK Assist per 90","FK Key Pass per 90","FK Shot per 90","FK Scored per 90","Free Kicks Taken per 90","TO Won per 90","TO Lost per 90","Take Ons per 90","Dispossessed by Opp per 90","Lost Touches per 90","All Possessions Disrupted per 90","Recoveries per 90","Def Recoveries per 90","Poss Recoveries per 90","Aerial Duels per 90","AD Won per 90","AD Lost per 90","Fouls Won per 90","Fouls Conceded per 90","Yellow Cards per 90","Red Cards per 90","Penalties Won per 90","Penalties Conceded per 90","Dispossessed Opp per 90","Pressured Opp per 90","Challenged Opp per 90","Interceptions per 90","Blocks per 90","Clearances per 90","Ball Shields per 90","Tackles per 90","Dribbled per 90","All Opp Poss Disrupted per 90","Saves per 90","Goals Allowed per 90","GK SOG Faced per 90","BC Saves per 90","BC Goals Allowed per 90","BC SOG Faced per 90","HB Won per 90","HB Lost per 90","High Balls Faced per 90","HB Caught per 90","HB Punched per 90","HB Parried per 90","HB Collected per 90","Crosses GK Won per 90","Crosses GK Lost per 90","Crosses GK Faced per 90","CKs GK Won per 90","CKs GK Lost per 90","CKs GK Faced per 90","FKs GK Won per 90","FKs GK Lost per 90","FKs GK Faced per 90","HB Fouls Won per 90","Smothers Won per 90","Smothers Lost per 90","GK Overall Pass Comp per 90","GK Overall Pass Att per 90","GK Throw Comp per 90","GK Throw Att per 90","GK Drop Kick Comp per 90","GK Drop Kick Att per 90","GKFK Comp per 90","GKFK Att per 90"
"Brian","HOU",0,1,94,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,44,51,0.862745098039216,42,48,0.875,36,39,0.923076923076923,0.8125,2,3,0.666666666666667,1,1,1,0,0,NA,0,0,NA,1,1,1,1,1,1,0,0,NA,18,23,0.782608695652174,10,12,0.833333333333333,16,16,1,18,23,0.782608695652174,8,9,0.888888888888889,16,16,1,15,18,0.833333333333333,8,8,1,13,13,1,0.450980392156863,0.235294117647059,0.313725490196078,0.479166666666667,0.1875,0.333333333333333,0.461538461538462,0.205128205128205,0.333333333333333,2,3,0.666666666666667,0,0,0,0,NA,0,0,0,0,0,5,0,5,1,0,1,1,8,6,2,7,4,3,0.571428571428571,1,1,0,0,0,0,0,45,1,7,5,4,0,2,1,2,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0.957446808510638,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.1276595744681,48.8297872340425,40.2127659574468,45.9574468085106,34.468085106383,37.3404255319149,1.91489361702128,2.87234042553191,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,0.957446808510638,0.957446808510638,0.957446808510638,0,0,17.2340425531915,22.0212765957447,9.57446808510638,11.4893617021277,15.3191489361702,15.3191489361702,17.2340425531915,22.0212765957447,7.65957446808511,8.61702127659574,15.3191489361702,15.3191489361702,14.3617021276596,17.2340425531915,7.65957446808511,7.65957446808511,12.4468085106383,12.4468085106383,1.91489361702128,2.87234042553191,0,0,0,0,0,0,0,0,0,4.78723404255319,0,4.78723404255319,0,0.957446808510638,0.957446808510638,7.65957446808511,5.74468085106383,1.91489361702128,6.70212765957447,3.82978723404255,2.87234042553191,0.957446808510638,0.957446808510638,0,0,0,0,0,43.0851063829787,0.957446808510638,6.70212765957447,4.78723404255319,3.82978723404255,0,1.91489361702128,0.957446808510638,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",0,1,94,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,37,39,0.948717948717949,37,39,0.948717948717949,27,28,0.964285714285714,0.717948717948718,0,0,NA,1,2,0.5,0,0,NA,0,0,NA,0,0,NA,1,2,0.5,0,0,NA,18,20,0.9,7,7,1,12,12,1,18,20,0.9,7,7,1,12,12,1,10,11,0.909090909090909,5,5,1,12,12,1,0.512820512820513,0.179487179487179,0.307692307692308,0.512820512820513,0.179487179487179,0.307692307692308,0.392857142857143,0.178571428571429,0.428571428571429,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,1,1,4,3,1,4,3,1,0.75,0,1,0,0,0,0,0,17,5,8,4,3,0,1,5,1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4255319148936,37.3404255319149,35.4255319148936,37.3404255319149,25.8510638297872,26.8085106382979,0,0,0.957446808510638,1.91489361702128,0,0,0,0,0,0,0.957446808510638,1.91489361702128,0,0,17.2340425531915,19.1489361702128,6.70212765957447,6.70212765957447,11.4893617021277,11.4893617021277,17.2340425531915,19.1489361702128,6.70212765957447,6.70212765957447,11.4893617021277,11.4893617021277,9.57446808510638,10.531914893617,4.78723404255319,4.78723404255319,11.4893617021277,11.4893617021277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,3.82978723404255,2.87234042553191,0.957446808510638,3.82978723404255,2.87234042553191,0.957446808510638,0,0.957446808510638,0,0,0,0,0,16.2765957446809,4.78723404255319,7.65957446808511,3.82978723404255,2.87234042553191,0,0.957446808510638,4.78723404255319,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brush","HOU",0,1,94,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,42,49,0.857142857142857,41,48,0.854166666666667,15,20,0.75,0.416666666666667,0,0,NA,2,3,0.666666666666667,0,1,0,0,0,NA,0,0,NA,2,3,0.666666666666667,0,1,0,28,35,0.8,7,7,1,7,7,1,27,34,0.794117647058823,7,7,1,7,7,1,11,16,0.6875,1,1,1,3,3,1,0.714285714285714,0.142857142857143,0.142857142857143,0.708333333333333,0.145833333333333,0.145833333333333,0.8,0.05,0.15,0,0,NA,0,0,1,1,1,0,0,0,0,1,0,0,0,NA,0,0,0,2,2,0,3,1,2,0.333333333333333,1,1,0,0,0,0,1,14,0,3,8,2,0,1,3,2,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2127659574468,46.9148936170213,39.2553191489362,45.9574468085106,14.3617021276596,19.1489361702128,0,0,1.91489361702128,2.87234042553191,0,0.957446808510638,0,0,0,0,1.91489361702128,2.87234042553191,0,0.957446808510638,26.8085106382979,33.5106382978723,6.70212765957447,6.70212765957447,6.70212765957447,6.70212765957447,25.8510638297872,32.5531914893617,6.70212765957447,6.70212765957447,6.70212765957447,6.70212765957447,10.531914893617,15.3191489361702,0.957446808510638,0.957446808510638,2.87234042553191,2.87234042553191,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,0,0,0,0,0,0,1.91489361702128,1.91489361702128,0,2.87234042553191,0.957446808510638,1.91489361702128,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,13.4042553191489,0,2.87234042553191,7.65957446808511,1.91489361702128,0,0.957446808510638,2.87234042553191,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brynjarsdottir","PTFC",0,1,60,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,13,0.461538461538462,6,13,0.461538461538462,4,5,0.8,0.384615384615385,0,1,0,0,0,NA,0,1,0,0,0,NA,0,1,0,0,0,NA,0,1,0,2,7,0.285714285714286,2,4,0.5,2,2,1,2,7,0.285714285714286,2,4,0.5,2,2,1,1,1,1,1,2,0.5,2,2,1,0.538461538461538,0.307692307692308,0.153846153846154,0.538461538461538,0.307692307692308,0.153846153846154,0.2,0.4,0.4,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,3,4,2,1,1,7,5,2,0.714285714285714,0,2,0,0,0,0,2,24,6,0,2,1,0,1,1,3,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1.5,0,1.5,0,1.5,0,0,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0,9,19.5,9,19.5,6,7.5,0,1.5,0,0,0,1.5,0,0,0,1.5,0,0,0,1.5,3,10.5,3,6,3,3,3,10.5,3,6,3,3,1.5,1.5,1.5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4.5,6,3,1.5,1.5,10.5,7.5,3,0,3,0,0,0,0,3,36,9,0,3,1.5,0,1.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkenroad","ORL",0,1,10,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,2,1,2,2,1,1,1,1,0.5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,1,1,1,0,0,NA,1,1,1,1,1,1,0,0,NA,0,0,NA,1,1,1,0,0,NA,0.5,0.5,0,0.5,0.5,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,9,9,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catley","ORL",0,1,95,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,36,48,0.75,26,35,0.742857142857143,12,19,0.631578947368421,0.542857142857143,2,7,0.285714285714286,0,0,NA,0,0,NA,8,8,1,2,4,0.5,0,0,NA,0,0,NA,12,23,0.521739130434783,15,16,0.9375,9,9,1,8,16,0.5,10,11,0.909090909090909,8,8,1,1,7,0.142857142857143,6,7,0.857142857142857,5,5,1,0.479166666666667,0.333333333333333,0.1875,0.457142857142857,0.314285714285714,0.228571428571429,0.368421052631579,0.368421052631579,0.263157894736842,1,1,1,0,0,1,4,0.25,0,0,1,0,5,2,0,2,1,0,1,1,15,8,7,3,2,1,0.666666666666667,1,2,0,0,0,0,0,9,1,0,2,4,0,1,1,1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0.947368421052632,0,0,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1052631578947,45.4736842105263,24.6315789473684,33.1578947368421,11.3684210526316,18,1.89473684210526,6.63157894736842,0,0,0,0,7.57894736842105,7.57894736842105,1.89473684210526,3.78947368421053,0,0,0,0,11.3684210526316,21.7894736842105,14.2105263157895,15.1578947368421,8.52631578947368,8.52631578947368,7.57894736842105,15.1578947368421,9.47368421052632,10.4210526315789,7.57894736842105,7.57894736842105,0.947368421052632,6.63157894736842,5.68421052631579,6.63157894736842,4.73684210526316,4.73684210526316,0.947368421052632,0.947368421052632,0,0,0.947368421052632,3.78947368421053,0,0,0.947368421052632,0,4.73684210526316,1.89473684210526,0,1.89473684210526,0,0.947368421052632,0.947368421052632,14.2105263157895,7.57894736842105,6.63157894736842,2.84210526315789,1.89473684210526,0.947368421052632,0.947368421052632,1.89473684210526,0,0,0,0,0,8.52631578947368,0.947368421052632,0,1.89473684210526,3.78947368421053,0,0.947368421052632,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapman","HOU",0,1,82,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,38,47,0.808510638297872,28,37,0.756756756756757,24,29,0.827586206896552,0.783783783783784,0,0,NA,0,2,0,0,1,0,10,10,1,0,0,NA,0,2,0,0,1,0,24,33,0.727272727272727,3,3,1,11,11,1,17,26,0.653846153846154,1,1,1,10,10,1,16,21,0.761904761904762,0,0,NA,8,8,1,0.702127659574468,0.0638297872340425,0.234042553191489,0.702702702702703,0.027027027027027,0.27027027027027,0.724137931034483,0,0.275862068965517,0,0,NA,0,0,0,0,NA,0,0,0,0,0,4,1,5,0.8,2,1,4,5,2,3,4,3,1,0.75,1,0,0,0,0,0,0,27,3,5,5,4,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7073170731707,51.5853658536585,30.7317073170732,40.609756097561,26.3414634146341,31.8292682926829,0,0,0,2.19512195121951,0,1.09756097560976,10.9756097560976,10.9756097560976,0,0,0,2.19512195121951,0,1.09756097560976,26.3414634146341,36.219512195122,3.29268292682927,3.29268292682927,12.0731707317073,12.0731707317073,18.6585365853659,28.5365853658537,1.09756097560976,1.09756097560976,10.9756097560976,10.9756097560976,17.5609756097561,23.0487804878049,0,0,8.78048780487805,8.78048780487805,0,0,0,0,0,0,0,0,0,0,0,4.39024390243902,1.09756097560976,5.48780487804878,2.19512195121951,1.09756097560976,4.39024390243902,5.48780487804878,2.19512195121951,3.29268292682927,4.39024390243902,3.29268292682927,1.09756097560976,1.09756097560976,0,0,0,0,0,0,29.6341463414634,3.29268292682927,5.48780487804878,5.48780487804878,4.39024390243902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colaprico","CRS",0,1,95,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,20,28,0.714285714285714,20,25,0.8,11,12,0.916666666666667,0.48,0,0,NA,0,1,0,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,0,NA,7,13,0.538461538461538,7,9,0.777777777777778,6,6,1,7,12,0.583333333333333,7,7,1,6,6,1,4,5,0.8,3,3,1,4,4,1,0.464285714285714,0.321428571428571,0.214285714285714,0.48,0.28,0.24,0.416666666666667,0.25,0.333333333333333,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,3,11,8,3,6,3,3,0.5,1,2,0,0,0,0,0,14,6,6,3,1,1,5,1,5,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9473684210526,26.5263157894737,18.9473684210526,23.6842105263158,10.4210526315789,11.3684210526316,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0.947368421052632,0,0,6.63157894736842,12.3157894736842,6.63157894736842,8.52631578947368,5.68421052631579,5.68421052631579,6.63157894736842,11.3684210526316,6.63157894736842,6.63157894736842,5.68421052631579,5.68421052631579,3.78947368421053,4.73684210526316,2.84210526315789,2.84210526315789,3.78947368421053,3.78947368421053,0,1.89473684210526,0,0,0,0.947368421052632,0,0,0,0,0.947368421052632,0,0.947368421052632,0.947368421052632,0.947368421052632,0.947368421052632,2.84210526315789,10.4210526315789,7.57894736842105,2.84210526315789,5.68421052631579,2.84210526315789,2.84210526315789,0.947368421052632,1.89473684210526,0,0,0,0,0,13.2631578947368,5.68421052631579,5.68421052631579,2.84210526315789,0.947368421052632,0.947368421052632,4.73684210526316,0.947368421052632,4.73684210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",0,1,25,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,8,9,0.888888888888889,8,9,0.888888888888889,5,6,0.833333333333333,0.666666666666667,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,4,5,0.8,2,2,1,2,2,1,4,5,0.8,2,2,1,2,2,1,1,2,0.5,2,2,1,2,2,1,0.555555555555556,0.222222222222222,0.222222222222222,0.555555555555556,0.222222222222222,0.222222222222222,0.333333333333333,0.333333333333333,0.333333333333333,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,1,1,4,3,1,3,1,2,0.333333333333333,0,0,0,0,0,0,0,8,2,0,3,0,0,0,1,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,3.6,0,0,3.6,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,32.4,28.8,32.4,18,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,18,7.2,7.2,7.2,7.2,14.4,18,7.2,7.2,7.2,7.2,3.6,7.2,7.2,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.6,14.4,10.8,3.6,10.8,3.6,7.2,0,0,0,0,0,0,0,28.8,7.2,0,10.8,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conheeney","SBFC",0,1,95,1,0,2,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,30,36,0.833333333333333,29,35,0.828571428571429,23,25,0.92,0.714285714285714,0,2,0,2,2,1,4,4,1,0,0,NA,0,2,0,2,2,1,4,4,1,8,10,0.8,10,14,0.714285714285714,12,12,1,8,10,0.8,10,14,0.714285714285714,11,11,1,7,8,0.875,8,9,0.888888888888889,8,8,1,0.277777777777778,0.388888888888889,0.333333333333333,0.285714285714286,0.4,0.314285714285714,0.32,0.36,0.32,1,1,1,0,0,0,0,NA,0,0,0,0,0,0,3,3,0,2,2,7,7,4,3,3,1,2,0.333333333333333,0,5,0,0,0,0,0,68,6,0,2,0,0,2,6,2,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1.89473684210526,0,0,0,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4210526315789,34.1052631578947,27.4736842105263,33.1578947368421,21.7894736842105,23.6842105263158,0,1.89473684210526,1.89473684210526,1.89473684210526,3.78947368421053,3.78947368421053,0,0,0,1.89473684210526,1.89473684210526,1.89473684210526,3.78947368421053,3.78947368421053,7.57894736842105,9.47368421052632,9.47368421052632,13.2631578947368,11.3684210526316,11.3684210526316,7.57894736842105,9.47368421052632,9.47368421052632,13.2631578947368,10.4210526315789,10.4210526315789,6.63157894736842,7.57894736842105,7.57894736842105,8.52631578947368,7.57894736842105,7.57894736842105,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,2.84210526315789,2.84210526315789,1.89473684210526,1.89473684210526,6.63157894736842,6.63157894736842,3.78947368421053,2.84210526315789,2.84210526315789,0.947368421052632,1.89473684210526,0,4.73684210526316,0,0,0,0,0,64.4210526315789,5.68421052631579,0,1.89473684210526,0,0,1.89473684210526,5.68421052631579,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",0,1,94,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,51,58,0.879310344827586,47,53,0.886792452830189,19,23,0.826086956521739,0.433962264150943,0,0,NA,4,6,0.666666666666667,0,0,NA,0,0,NA,0,0,NA,3,5,0.6,0,0,NA,27,33,0.818181818181818,12,12,1,12,13,0.923076923076923,25,30,0.833333333333333,10,10,1,12,13,0.923076923076923,11,14,0.785714285714286,2,2,1,6,7,0.857142857142857,0.568965517241379,0.206896551724138,0.224137931034483,0.566037735849057,0.188679245283019,0.245283018867925,0.608695652173913,0.0869565217391304,0.304347826086957,0,0,NA,0,0,4,5,0.8,0,0,0,0,5,2,0,2,1,0,0,0,1,1,0,2,1,1,0.5,0,1,0,0,0,0,0,4,2,8,5,5,1,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1.91489361702128,0,1.91489361702128,0,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.8297872340425,55.531914893617,45,50.7446808510638,18.1914893617021,22.0212765957447,0,0,3.82978723404255,5.74468085106383,0,0,0,0,0,0,2.87234042553191,4.78723404255319,0,0,25.8510638297872,31.5957446808511,11.4893617021277,11.4893617021277,11.4893617021277,12.4468085106383,23.936170212766,28.7234042553191,9.57446808510638,9.57446808510638,11.4893617021277,12.4468085106383,10.531914893617,13.4042553191489,1.91489361702128,1.91489361702128,5.74468085106383,6.70212765957447,0,0,0,0,3.82978723404255,4.78723404255319,0,0,0,0,4.78723404255319,1.91489361702128,0,1.91489361702128,0,0,0,0.957446808510638,0.957446808510638,0,1.91489361702128,0.957446808510638,0.957446808510638,0,0.957446808510638,0,0,0,0,0,3.82978723404255,1.91489361702128,7.65957446808511,4.78723404255319,4.78723404255319,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
