"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Hayes","SBFC",0,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.5,3,6,0.5,2,4,0.5,0.666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,1,1,2,3,0.666666666666667,0,2,0,1,1,1,2,3,0.666666666666667,0,1,0,0,0,0,2,3,0.666666666666667,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.166666666666667,0.5,0.25,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2727272727273,24.5454545454545,12.2727272727273,24.5454545454545,8.18181818181818,16.3636363636364,0,4.09090909090909,0,0,0,4.09090909090909,0,0,0,4.09090909090909,0,0,0,4.09090909090909,0,8.18181818181818,4.09090909090909,4.09090909090909,8.18181818181818,12.2727272727273,0,8.18181818181818,4.09090909090909,4.09090909090909,8.18181818181818,12.2727272727273,0,4.09090909090909,0,0,8.18181818181818,12.2727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09090909090909,4.09090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4545454545455,8.18181818181818,0,4.09090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hinkle","WNYF",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,33,45,0.733333333333333,23,30,0.766666666666667,16,20,0.8,0.666666666666667,2,7,0.285714285714286,3,3,1,3,3,1,6,8,0.75,0,3,0,3,3,1,3,3,1,19,26,0.730769230769231,8,13,0.615384615384615,6,6,1,13,17,0.764705882352941,4,7,0.571428571428571,6,6,1,9,11,0.818181818181818,2,4,0.5,5,5,1,0.577777777777778,0.288888888888889,0.133333333333333,0.566666666666667,0.233333333333333,0.2,0.55,0.2,0.25,4,6,0.666666666666667,1,0,0,1,0,0,0,0,0,1,2,0,2,1,2,0,2,11,9,2,3,1,2,0.333333333333333,0,1,0,0,0,0,0,27,10,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0.947368421052632,0.947368421052632,0,0.947368421052632,0.947368421052632,0.947368421052632,0,31.2631578947368,42.6315789473684,21.7894736842105,28.4210526315789,15.1578947368421,18.9473684210526,1.89473684210526,6.63157894736842,2.84210526315789,2.84210526315789,2.84210526315789,2.84210526315789,5.68421052631579,7.57894736842105,0,2.84210526315789,2.84210526315789,2.84210526315789,2.84210526315789,2.84210526315789,18,24.6315789473684,7.57894736842105,12.3157894736842,5.68421052631579,5.68421052631579,12.3157894736842,16.1052631578947,3.78947368421053,6.63157894736842,5.68421052631579,5.68421052631579,8.52631578947368,10.4210526315789,1.89473684210526,3.78947368421053,4.73684210526316,4.73684210526316,3.78947368421053,5.68421052631579,0.947368421052632,0,0,0.947368421052632,0,0,0,0,0.947368421052632,1.89473684210526,0,1.89473684210526,1.89473684210526,0,1.89473684210526,10.4210526315789,8.52631578947368,1.89473684210526,2.84210526315789,0.947368421052632,1.89473684210526,0,0.947368421052632,0,0,0,0,0,25.5789473684211,9.47368421052632,1.89473684210526,0,1.89473684210526,0.947368421052632,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kai","SBFC",0,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.75,3,4,0.75,2,3,0.666666666666667,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0.5,1,1,1,1,1,1,1,2,0.5,1,1,1,1,1,1,1,2,0.5,0,0,0,0.25,0.5,0.25,0.25,0.5,0.25,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,0,1,13,1,12,0.0769230769230769,1,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74468085106383,7.65957446808511,5.74468085106383,7.65957446808511,3.82978723404255,5.74468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,1.91489361702128,1.91489361702128,3.82978723404255,1.91489361702128,1.91489361702128,1.91489361702128,1.91489361702128,1.91489361702128,3.82978723404255,1.91489361702128,1.91489361702128,1.91489361702128,1.91489361702128,1.91489361702128,3.82978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,5.74468085106383,7.65957446808511,1.91489361702128,0,1.91489361702128,24.8936170212766,1.91489361702128,22.9787234042553,1.91489361702128,0,0,0,0,0,0,21.063829787234,0,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kennedy","WNYF",0,1,95,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,47,0.893617021276596,41,46,0.891304347826087,18,20,0.9,0.434782608695652,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,19,24,0.791666666666667,13,13,1,10,10,1,19,24,0.791666666666667,13,13,1,9,9,1,7,9,0.777777777777778,5,5,1,6,6,1,0.51063829787234,0.276595744680851,0.212765957446809,0.521739130434783,0.282608695652174,0.195652173913043,0.45,0.25,0.3,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,9,7,1,8,7,1,0.875,0,3,0,0,0,0,0,11,6,5,3,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7894736842105,44.5263157894737,38.8421052631579,43.5789473684211,17.0526315789474,18.9473684210526,0,0,0,1.89473684210526,0,0.947368421052632,0,0,0,0,0,1.89473684210526,0,0.947368421052632,18,22.7368421052632,12.3157894736842,12.3157894736842,9.47368421052632,9.47368421052632,18,22.7368421052632,12.3157894736842,12.3157894736842,8.52631578947368,8.52631578947368,6.63157894736842,8.52631578947368,4.73684210526316,4.73684210526316,5.68421052631579,5.68421052631579,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,0,0,0,0,0.947368421052632,0.947368421052632,8.52631578947368,6.63157894736842,0.947368421052632,7.57894736842105,6.63157894736842,0.947368421052632,0,2.84210526315789,0,0,0,0,0,10.4210526315789,5.68421052631579,4.73684210526316,2.84210526315789,3.78947368421053,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Killion","SBFC",0,1,95,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,67,0.835820895522388,52,62,0.838709677419355,32,37,0.864864864864865,0.596774193548387,0,2,0,5,8,0.625,2,6,0.333333333333333,0,0,0,0,1,0,4,7,0.571428571428571,2,6,0.333333333333333,24,31,0.774193548387097,15,19,0.789473684210526,17,17,1,22,29,0.758620689655172,14,17,0.823529411764706,16,16,1,12,14,0.857142857142857,10,13,0.769230769230769,10,10,1,0.462686567164179,0.283582089552239,0.253731343283582,0.467741935483871,0.274193548387097,0.258064516129032,0.378378378378378,0.351351351351351,0.27027027027027,0,0,0,0,0,4,5,0.8,0,0,0,0,5,0,0,0,0,0,4,4,11,6,5,8,5,3,0.625,1,2,0,0,0,0,0,31,1,3,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0526315789474,63.4736842105263,49.2631578947368,58.7368421052632,30.3157894736842,35.0526315789474,0,1.89473684210526,4.73684210526316,7.57894736842105,1.89473684210526,5.68421052631579,0,0,0,0.947368421052632,3.78947368421053,6.63157894736842,1.89473684210526,5.68421052631579,22.7368421052632,29.3684210526316,14.2105263157895,18,16.1052631578947,16.1052631578947,20.8421052631579,27.4736842105263,13.2631578947368,16.1052631578947,15.1578947368421,15.1578947368421,11.3684210526316,13.2631578947368,9.47368421052632,12.3157894736842,9.47368421052632,9.47368421052632,0,0,0,0,3.78947368421053,4.73684210526316,0,0,0,0,4.73684210526316,0,0,0,0,3.78947368421053,3.78947368421053,10.4210526315789,5.68421052631579,4.73684210526316,7.57894736842105,4.73684210526316,2.84210526315789,0.947368421052632,1.89473684210526,0,0,0,0,0,29.3684210526316,0.947368421052632,2.84210526315789,0.947368421052632,2.84210526315789,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leon","WNYF",0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,1,3,0.333333333333333,1,2,0.5,0.666666666666667,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,2,0.5,0,0,0,0,1,0,1,2,0.5,0,0,0,0,1,0,1,1,1,0,0,0,0.333333333333333,0.666666666666667,0,0.333333333333333,0.666666666666667,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28571428571429,12.8571428571429,4.28571428571429,12.8571428571429,4.28571428571429,8.57142857142857,0,4.28571428571429,0,4.28571428571429,0,4.28571428571429,0,0,0,4.28571428571429,0,4.28571428571429,0,4.28571428571429,0,4.28571428571429,4.28571428571429,8.57142857142857,0,0,0,4.28571428571429,4.28571428571429,8.57142857142857,0,0,0,4.28571428571429,4.28571428571429,4.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28571428571429,0,4.28571428571429,4.28571428571429,0,4.28571428571429,0,0,0,0,0,0,0,68.5714285714286,8.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lytle","SBFC",0,1,95,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,47,0.702127659574468,32,46,0.695652173913043,22,34,0.647058823529412,0.739130434782609,0,2,0,1,3,0.333333333333333,3,6,0.5,1,1,1,0,2,0,1,3,0.333333333333333,3,6,0.5,15,24,0.625,6,10,0.6,12,13,0.923076923076923,14,23,0.608695652173913,6,10,0.6,12,13,0.923076923076923,8,16,0.5,5,8,0.625,9,10,0.9,0.51063829787234,0.212765957446809,0.276595744680851,0.5,0.217391304347826,0.282608695652174,0.470588235294118,0.235294117647059,0.294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,5,3,0,0,0,0,0,0,0,0,0,0,0,29,2,0,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.2631578947368,44.5263157894737,30.3157894736842,43.5789473684211,20.8421052631579,32.2105263157895,0,1.89473684210526,0.947368421052632,2.84210526315789,2.84210526315789,5.68421052631579,0.947368421052632,0.947368421052632,0,1.89473684210526,0.947368421052632,2.84210526315789,2.84210526315789,5.68421052631579,14.2105263157895,22.7368421052632,5.68421052631579,9.47368421052632,11.3684210526316,12.3157894736842,13.2631578947368,21.7894736842105,5.68421052631579,9.47368421052632,11.3684210526316,12.3157894736842,7.57894736842105,15.1578947368421,4.73684210526316,7.57894736842105,8.52631578947368,9.47368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,1.89473684210526,7.57894736842105,4.73684210526316,2.84210526315789,0,0,0,0,0,0,0,0,0,0,27.4736842105263,1.89473684210526,0,2.84210526315789,0,0,0.947368421052632,1.89473684210526,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"McDonald","WNYF",0,1,95,1,2,0,0,1,0,3,0.666666666666667,1,2,0.333333333333333,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,29,0.551724137931034,14,25,0.56,7,14,0.5,0.56,0,3,0,0,0,0,2,4,0.5,2,4,0.5,0,3,0,0,0,0,2,4,0.5,3,8,0.375,5,11,0.454545454545455,8,10,0.8,2,7,0.285714285714286,4,8,0.5,8,10,0.8,1,4,0.25,3,6,0.5,3,4,0.75,0.275862068965517,0.379310344827586,0.344827586206897,0.28,0.32,0.4,0.285714285714286,0.428571428571429,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,4,6,4,2,5,3,2,0.6,0,0,0,0,0,0,0,49,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0,0,0.947368421052632,0,2.84210526315789,0.947368421052632,1.89473684210526,0.947368421052632,0,0,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,15.1578947368421,27.4736842105263,13.2631578947368,23.6842105263158,6.63157894736842,13.2631578947368,0,2.84210526315789,0,0,1.89473684210526,3.78947368421053,1.89473684210526,3.78947368421053,0,2.84210526315789,0,0,1.89473684210526,3.78947368421053,2.84210526315789,7.57894736842105,4.73684210526316,10.4210526315789,7.57894736842105,9.47368421052632,1.89473684210526,6.63157894736842,3.78947368421053,7.57894736842105,7.57894736842105,9.47368421052632,0.947368421052632,3.78947368421053,2.84210526315789,5.68421052631579,2.84210526315789,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,1.89473684210526,1.89473684210526,3.78947368421053,5.68421052631579,3.78947368421053,1.89473684210526,4.73684210526316,2.84210526315789,1.89473684210526,0,0,0,0,0,0,0,46.421052631579,0.947368421052632,1.89473684210526,0,0,0,0,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mewis","WNYF",0,1,95,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,54,0.777777777777778,41,53,0.773584905660377,22,30,0.733333333333333,0.566037735849057,0,0,0,2,6,0.333333333333333,4,6,0.666666666666667,0,0,0,0,0,0,2,6,0.333333333333333,4,6,0.666666666666667,20,28,0.714285714285714,9,12,0.75,13,14,0.928571428571429,19,27,0.703703703703704,9,12,0.75,13,14,0.928571428571429,7,12,0.583333333333333,5,8,0.625,10,10,1,0.518518518518518,0.222222222222222,0.259259259259259,0.509433962264151,0.226415094339623,0.264150943396226,0.4,0.266666666666667,0.333333333333333,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,3,1,4,10,3,7,16,9,7,0.5625,1,3,0,0,0,0,0,43,4,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7894736842105,51.1578947368421,38.8421052631579,50.2105263157895,20.8421052631579,28.4210526315789,0,0,1.89473684210526,5.68421052631579,3.78947368421053,5.68421052631579,0,0,0,0,1.89473684210526,5.68421052631579,3.78947368421053,5.68421052631579,18.9473684210526,26.5263157894737,8.52631578947368,11.3684210526316,12.3157894736842,13.2631578947368,18,25.5789473684211,8.52631578947368,11.3684210526316,12.3157894736842,13.2631578947368,6.63157894736842,11.3684210526316,4.73684210526316,7.57894736842105,9.47368421052632,9.47368421052632,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,0,0,0,2.84210526315789,0.947368421052632,3.78947368421053,9.47368421052632,2.84210526315789,6.63157894736842,15.1578947368421,8.52631578947368,6.63157894736842,0.947368421052632,2.84210526315789,0,0,0,0,0,40.7368421052632,3.78947368421053,0,0.947368421052632,2.84210526315789,0,0.947368421052632,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O'Hara","SBFC",0,1,95,1,1,0,0,2,0,3,0.333333333333333,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,65,0.723076923076923,41,53,0.773584905660377,32,36,0.888888888888889,0.679245283018868,0,1,0,0,6,0,1,4,0.25,5,7,0.714285714285714,0,1,0,0,4,0,1,2,0.5,23,38,0.605263157894737,14,17,0.823529411764706,10,10,1,21,31,0.67741935483871,12,14,0.857142857142857,8,8,1,17,21,0.80952380952381,9,9,1,6,6,1,0.584615384615385,0.261538461538462,0.153846153846154,0.584905660377358,0.264150943396226,0.150943396226415,0.583333333333333,0.25,0.166666666666667,0,1,0,0,0,1,4,0.25,0,0,1,0,5,2,1,3,0.666666666666667,0,2,3,10,5,5,1,0,1,0,2,0,0,0,1,0,2,17,7,3,3,2,0,6,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,1.89473684210526,0,2.84210526315789,1.89473684210526,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5263157894737,61.5789473684211,38.8421052631579,50.2105263157895,30.3157894736842,34.1052631578947,0,0.947368421052632,0,5.68421052631579,0.947368421052632,3.78947368421053,4.73684210526316,6.63157894736842,0,0.947368421052632,0,3.78947368421053,0.947368421052632,1.89473684210526,21.7894736842105,36,13.2631578947368,16.1052631578947,9.47368421052632,9.47368421052632,19.8947368421053,29.3684210526316,11.3684210526316,13.2631578947368,7.57894736842105,7.57894736842105,16.1052631578947,19.8947368421053,8.52631578947368,8.52631578947368,5.68421052631579,5.68421052631579,0,0.947368421052632,0,0,0.947368421052632,3.78947368421053,0,0,0.947368421052632,0,4.73684210526316,1.89473684210526,0.947368421052632,2.84210526315789,0,1.89473684210526,2.84210526315789,9.47368421052632,4.73684210526316,4.73684210526316,0.947368421052632,0,0.947368421052632,1.89473684210526,0,0,0,0.947368421052632,0,1.89473684210526,16.1052631578947,6.63157894736842,2.84210526315789,2.84210526315789,1.89473684210526,0,5.68421052631579,0.947368421052632,7.57894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
