"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Barnes","SRFC",0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,59,0.779661016949153,43,51,0.843137254901961,18,21,0.857142857142857,0.411764705882353,0,5,0,1,7,0.142857142857143,0,3,0,0,0,0,0,1,0,1,6,0.166666666666667,0,3,0,24,33,0.727272727272727,15,18,0.833333333333333,7,8,0.875,23,30,0.766666666666667,13,13,1,7,8,0.875,12,15,0.8,4,4,1,2,2,1,0.559322033898305,0.305084745762712,0.135593220338983,0.588235294117647,0.254901960784314,0.156862745098039,0.714285714285714,0.19047619047619,0.0952380952380952,0,3,0,0,0,3,5,0.6,0,0,0,0,5,2,0,2,1,1,0,1,3,2,1,5,2,3,0.4,1,2,1,0,0,0,1,2,1,1,6,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betos","PTFC",0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,0.689655172413793,10,11,0.909090909090909,4,5,0.8,0.454545454545455,0,0,0,2,9,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,0.590909090909091,7,7,1,0,0,0,4,5,0.8,6,6,1,0,0,0,2,3,0.666666666666667,2,2,1,0,0,0,0.758620689655172,0.241379310344828,0,0.454545454545455,0.545454545454545,0,0.6,0.4,0,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0.75,0,3,3,1,3,0,3,1,1,0,0,0,3,0,3,3,0,3,0,0,0,0,2,0,20,29,0.689655172413793,3,3,1,1,6,0.166666666666667,6,9,0.666666666666667
"Dallstream","SRFC",0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,2,3,0.666666666666667,1,1,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,4,2,2,0,0,0,0,0,0,1,0,0,0,0,1,12,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",0,1,99,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,53,66,0.803030303030303,50,63,0.793650793650794,38,46,0.826086956521739,0.73015873015873,0,0,0,4,8,0.5,4,9,0.444444444444444,1,1,1,0,0,0,4,8,0.5,4,9,0.444444444444444,28,40,0.7,14,14,1,11,12,0.916666666666667,27,39,0.692307692307692,12,12,1,11,12,0.916666666666667,22,30,0.733333333333333,9,9,1,7,7,1,0.606060606060606,0.212121212121212,0.181818181818182,0.619047619047619,0.19047619047619,0.19047619047619,0.652173913043478,0.195652173913043,0.152173913043478,0,0,0,0,0,2,2,1,0,0,0,0,2,1,2,3,0.333333333333333,2,1,5,10,5,4,6,1,5,0.166666666666667,0,1,1,0,0,0,4,26,3,6,5,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,52,0.923076923076923,46,50,0.92,29,30,0.966666666666667,0.6,0,0,0,3,5,0.6,0,0,0,0,0,0,0,0,0,3,5,0.6,0,0,0,29,33,0.878787878787879,15,15,1,4,4,1,28,32,0.875,14,14,1,4,4,1,20,21,0.952380952380952,6,6,1,3,3,1,0.634615384615385,0.288461538461538,0.0769230769230769,0.64,0.28,0.08,0.7,0.2,0.1,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,2,0,2,11,7,3,8,4,4,0.5,2,1,0,0,0,0,0,3,0,1,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","PTFC",0,1,99,1,0,1,0,3,0,4,0.25,1,3,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,38,0.684210526315789,19,25,0.76,17,21,0.80952380952381,0.84,5,13,0.384615384615385,1,2,0.5,0,0,0,2,2,1,1,3,0.333333333333333,1,2,0.5,0,0,0,8,11,0.727272727272727,10,18,0.555555555555556,8,9,0.888888888888889,7,9,0.777777777777778,6,9,0.666666666666667,6,7,0.857142857142857,7,8,0.875,4,6,0.666666666666667,6,7,0.857142857142857,0.289473684210526,0.473684210526316,0.236842105263158,0.36,0.36,0.28,0.380952380952381,0.285714285714286,0.333333333333333,3,8,0.375,0,0,2,3,0.666666666666667,1,0,1,0,4,8,3,11,0.727272727272727,4,3,10,5,4,1,1,1,0,1,1,3,0,0,0,0,1,29,4,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henry","PTFC",0,1,18,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,5,5,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,1,0.4,0.2,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,1,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","PTFC",0,1,99,1,0,1,0,2,0,3,0.333333333333333,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,32,44,0.727272727272727,31,43,0.720930232558139,24,31,0.774193548387097,0.704545454545455,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,15,24,0.625,11,12,0.916666666666667,6,8,0.75,14,23,0.608695652173913,11,12,0.916666666666667,6,8,0.75,9,14,0.642857142857143,10,11,0.909090909090909,5,6,0.833333333333333,0.545454545454545,0.272727272727273,0.181818181818182,0.534883720930233,0.27906976744186,0.186046511627907,0.451612903225806,0.354838709677419,0.193548387096774,0,0,0,0,0,1,1,1,0,0,0,0,1,5,1,6,0.833333333333333,3,2,6,8,4,4,9,6,3,0.666666666666667,1,1,0,0,0,0,2,41,3,4,1,1,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kawasumi","SRFC",0,1,81,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,17,25,0.68,13,17,0.764705882352941,12,14,0.857142857142857,0.823529411764706,5,9,0.555555555555556,2,2,1,3,4,0.75,1,2,0.5,2,3,0.666666666666667,2,2,1,3,4,0.75,8,12,0.666666666666667,6,10,0.6,3,3,1,7,10,0.7,4,5,0.8,2,2,1,6,8,0.75,4,4,1,2,2,1,0.48,0.4,0.12,0.588235294117647,0.294117647058824,0.117647058823529,0.571428571428571,0.285714285714286,0.142857142857143,2,5,0.4,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,6,2,4,1,1,0,1,1,0,0,0,0,0,0,35,5,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klingenberg","PTFC",0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,65,0.584615384615385,31,54,0.574074074074074,21,38,0.552631578947368,0.703703703703704,2,4,0.5,2,8,0.25,1,4,0.25,7,10,0.7,2,4,0.5,2,7,0.285714285714286,1,4,0.25,21,44,0.477272727272727,7,9,0.777777777777778,10,12,0.833333333333333,18,38,0.473684210526316,6,7,0.857142857142857,7,9,0.777777777777778,10,25,0.4,6,7,0.857142857142857,5,6,0.833333333333333,0.676923076923077,0.138461538461538,0.184615384615385,0.703703703703704,0.12962962962963,0.166666666666667,0.657894736842105,0.184210526315789,0.157894736842105,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,6,2,4,1,1,0,1,1,0,0,0,0,0,1,14,2,3,1,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
