"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Conheeney","SBFC",0,1,75,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,0.608695652173913,14,23,0.608695652173913,5,9,0.555555555555556,0.391304347826087,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,4,8,0.5,3,5,0.6,7,10,0.7,4,8,0.5,3,5,0.6,7,10,0.7,1,2,0.5,1,2,0.5,3,5,0.6,0.347826086956522,0.217391304347826,0.434782608695652,0.347826086956522,0.217391304347826,0.434782608695652,0.222222222222222,0.222222222222222,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,3,4,5,5,0,3,0,3,0,0,3,0,0,0,0,0,54,5,1,4,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","BOS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,78,0.858974358974359,65,76,0.855263157894737,24,29,0.827586206896552,0.381578947368421,0,0,0,5,11,0.454545454545455,0,1,0,0,0,0,0,0,0,4,10,0.4,0,1,0,44,54,0.814814814814815,15,16,0.9375,8,8,1,42,52,0.807692307692308,15,16,0.9375,8,8,1,16,21,0.761904761904762,4,4,1,4,4,1,0.692307692307692,0.205128205128205,0.102564102564103,0.684210526315789,0.210526315789474,0.105263157894737,0.724137931034483,0.137931034482759,0.137931034482759,0,0,0,0,0,2,2,1,0,0,0,0,2,3,0,3,1,1,0,1,7,5,2,2,2,0,1,0,0,0,0,0,0,2,9,2,1,3,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordon","SBFC",0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0.833333333333333,5,6,0.833333333333333,4,5,0.8,0.833333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0.75,0,0,0,2,2,1,3,4,0.75,0,0,0,2,2,1,3,4,0.75,0,0,0,1,1,1,0.666666666666667,0,0.333333333333333,0.666666666666667,0,0.333333333333333,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grubka","SBFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,1,2,0.5,1,2,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,0,2,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hayes","SBFC",0,1,79,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,30,0.566666666666667,17,30,0.566666666666667,12,18,0.666666666666667,0.6,0,2,0,1,1,1,0,2,0,0,0,0,0,2,0,1,1,1,0,2,0,7,18,0.388888888888889,1,3,0.333333333333333,9,9,1,7,18,0.388888888888889,1,3,0.333333333333333,9,9,1,3,8,0.375,1,2,0.5,8,8,1,0.6,0.1,0.3,0.6,0.1,0.3,0.444444444444444,0.111111111111111,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,5,10,6,4,3,3,0,1,0,1,0,0,0,0,1,25,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kai","SBFC",0,1,95,1,0,1,0,1,1,3,0.5,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,0.863636363636364,19,22,0.863636363636364,15,16,0.9375,0.727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.5,1,1,1,15,15,1,3,6,0.5,1,1,1,15,15,1,1,2,0.5,0,0,0,14,14,1,0.272727272727273,0.0454545454545455,0.681818181818182,0.272727272727273,0.0454545454545455,0.681818181818182,0.125,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,6,6,4,2,14,6,8,0.428571428571429,1,2,1,0,0,0,3,52,5,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,92,0.902173913043478,80,88,0.909090909090909,41,44,0.931818181818182,0.5,0,0,0,3,6,0.5,0,0,0,0,0,0,0,0,0,2,5,0.4,0,0,0,48,54,0.888888888888889,16,18,0.888888888888889,19,20,0.95,45,50,0.9,16,18,0.888888888888889,19,20,0.95,21,21,1,5,7,0.714285714285714,15,16,0.9375,0.58695652173913,0.195652173913043,0.217391304347826,0.568181818181818,0.204545454545455,0.227272727272727,0.477272727272727,0.159090909090909,0.363636363636364,0,0,0,0,0,3,4,0.75,0,0,0,0,4,1,0,1,1,0,1,1,10,10,0,2,2,0,1,2,0,0,0,0,0,0,14,2,2,5,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Killion","SBFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,55,0.727272727272727,37,52,0.711538461538462,24,27,0.888888888888889,0.519230769230769,0,0,0,3,4,0.75,0,2,0,0,0,0,0,0,0,3,4,0.75,0,2,0,25,38,0.657894736842105,2,3,0.666666666666667,13,14,0.928571428571429,24,37,0.648648648648649,2,3,0.666666666666667,11,12,0.916666666666667,16,18,0.888888888888889,1,1,1,7,8,0.875,0.690909090909091,0.0545454545454545,0.254545454545455,0.711538461538462,0.0576923076923077,0.230769230769231,0.666666666666667,0.037037037037037,0.296296296296296,0,0,0,0,0,3,3,1,0,0,0,0,3,0,0,0,0,3,4,7,18,10,8,4,1,3,0.25,1,2,0,0,0,0,2,45,4,6,5,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"King","BOS",0,1,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,39,0.769230769230769,20,26,0.769230769230769,12,17,0.705882352941177,0.653846153846154,1,3,0.333333333333333,0,0,0,0,0,0,10,13,0.769230769230769,1,3,0.333333333333333,0,0,0,0,0,0,16,22,0.727272727272727,2,4,0.5,12,13,0.923076923076923,10,14,0.714285714285714,1,3,0.333333333333333,9,9,1,5,8,0.625,1,3,0.333333333333333,6,6,1,0.564102564102564,0.102564102564103,0.333333333333333,0.538461538461538,0.115384615384615,0.346153846153846,0.470588235294118,0.176470588235294,0.352941176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,2,2,5,4,4,0,4,4,0,1,1,0,0,0,0,0,3,15,2,0,3,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lytle","SBFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,33,0.696969696969697,22,32,0.6875,17,23,0.739130434782609,0.71875,0,3,0,1,4,0.25,0,0,0,1,1,1,0,3,0,1,4,0.25,0,0,0,6,14,0.428571428571429,2,4,0.5,15,15,1,6,14,0.428571428571429,2,4,0.5,14,14,1,3,8,0.375,1,2,0.5,13,13,1,0.424242424242424,0.121212121212121,0.454545454545455,0.4375,0.125,0.4375,0.347826086956522,0.0869565217391304,0.565217391304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,8,3,5,0,0,0,0,0,0,0,0,0,0,3,35,1,2,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
